GeneName,SRR3593218,SRR3593219,SRR3593220,SRR3593221,SRR3593222,SRR3593223,SRR3593224,SRR3593225,SRR3593226,SRR3593227,SRR3593228,SRR3593229,SRR3593230,SRR3593231,SRR3593232,SRR3593233,SRR3593234,SRR3593236,SRR3593237,SRR3593238,SRR3593239,SRR3593240,SRR3593241,SRR3593242,SRR3593243,SRR3593244,SRR3593245,SRR3593246,SRR3593247,SRR3593248,SRR3593249,SRR3593250,SRR3593251,SRR3593252,SRR3593253,SRR3593254,SRR3593256,SRR3593257,SRR3593258,SRR3593260,SRR3593261,SRR3593262,SRR3593263,SRR3593264,SRR3593265,SRR3593266,SRR3593267,SRR3593268,SRR3593269,SRR3593270,SRR3593271,SRR3593272,SRR3593273,SRR3593274,SRR3593275,SRR3593276,SRR3593277,SRR3593278,SRR3593279,SRR3593280,SRR3593281,SRR3593282,SRR3593283,SRR3593284,SRR3593285,SRR3593286,SRR3593287,SRR3593288,SRR3593289,SRR3593290,SRR3593291,SRR3593292,SRR3593293,SRR3593294,SRR3593295,SRR3593296,SRR3593297,SRR3593298,SRR3593299,SRR3593300,SRR3593301,SRR3593306,SRR3593307,SRR3593308,SRR3593309,SRR3593310,SRR3593311,SRR3593312,SRR3593313,SRR3593314,SRR3593315,SRR3593316,SRR3593317,SRR3593318,SRR3593319,SRR3593320,SRR3593321,SRR3593322,SRR3593323,SRR3593324,SRR3593325,SRR3593326,SRR3593327,SRR3593328,SRR3593329,SRR3593330,SRR3593331,SRR3593332,SRR3593333,SRR3593334,SRR3593335,SRR3593336,SRR3593337,SRR3593338,SRR3593339,SRR3593340,log2FC,p-value
ACAN,1.3972748467935125,1.4948548442134957,1.407432478861196,1.371138932389825,1.6178346512027262,1.5040283902861784,1.6504126573907034,1.6462291542811605,1.6356495085784755,1.7876586595203126,1.7574799388975817,1.6660588134333307,1.764531020716135,4.8443151839954774,4.7816572039886704,2.4365374112015625,2.239447387239767,2.24935511902767,1.9961851175666396,6.0003483843703425,5.522384705342964,2.012990144766024,1.7301199665535383,5.05119205408632,4.9140657218977495,4.922265084003553,5.074481999732652,5.164591574754985,4.933266342672427,5.000473942775156,3.0109465062985996,1.9567655805491238,1.9791044017060233,2.417232643715355,2.7313437837948364,2.2740017421169307,2.1778840161257524,2.01103192165366,1.81937347446978,2.500468791466661,2.4692850930005226,5.70320031232875,5.751132776036956,2.2346460512212873,2.050214481836745,1.5721392663765839,2.4458981684549337,2.512777095975538,2.5846654276210375,1.7082252315818702,1.7941908046949018,1.777750158783284,1.774859389780925,1.801397923972999,1.764649776495215,2.217517043095021,2.3588751847792127,2.094908806993571,2.0794800979264156,2.1152349509159944,2.0849907515312225,2.037077227637306,1.9318871708756995,2.098212884261521,2.0970044072213865,1.9403580661285513,1.9536293753797394,3.0673571799053287,3.166218376334042,3.0291755741453033,2.926444023378777,3.303483380117894,3.354478216690792,3.4786275239652196,3.403336665846124,3.509925819842203,3.136134721018279,3.3402699308759733,3.4047207170199103,3.321949200914465,3.431864563431673,3.284569775995582,3.2183627210424057,2.969105206409,2.9364575968611977,3.1343623968046117,3.3085263459035184,2.944846207204099,3.0062209415348766,3.1833788390227324,3.0215777853610155,3.0225150126368225,3.031449306736409,5.909838498306288,5.873676612551969,5.858301437001052,5.78089817647614,5.727155169395165,5.824710870795868,5.70748366661834,5.716844619497695,5.765257165319896,5.765257165319896,5.765257165319896,5.751132776036956,1.5727620352942981,1.4823947625567615,1.6133406541515352,1.5301255484772243,1.4284709156389217,1.3879089970436014,5.691483396023545,5.654300394398965,5.650317818736319,5.770487938619016,5.683314338812852,1.2011910091552522,1.9292046504060606e-05
ACTG2,1.7493303299634826,1.791561867461743,1.7229903983733557,1.777750158783284,1.6691905477949915,1.1793976464543123,1.262982484853027,1.6640677408578175,1.6137491438279807,1.6607158638168853,1.6408358255279236,1.6348127257493135,1.7523472316633126,4.04801909132258,4.020799689547431,1.4152036041308402,1.4701018416905358,1.6312250145734377,1.5576666626061646,5.148239428889298,4.9451450557099275,1.6235595721625167,1.7239816087566433,4.568090241751303,4.636466975169165,4.522607216425715,4.586164279634149,4.628198291192575,4.57264961304635,4.644227372523518,1.708532963833705,1.5324619756991538,1.5526816907170717,1.645838180484548,1.6276871271827031,1.540806517521975,3.150086811742846,1.6673058026052296,1.8017323299822792,1.7725675570922133,1.5583574913048102,6.48183466831864,6.425899435761419,3.114634269681884,3.2325341518418975,1.4359358708540875,1.7017673929040915,1.6085838219696729,1.5587843256399532,1.6271646286375394,1.5081686533991163,1.542884577538594,1.482899332570217,1.552582832312278,1.4401851846890055,1.4740190238693882,1.5580737168434213,1.5431777081567046,1.6064709607086884,1.5095663058752011,1.550697216857016,2.9384500299026715,2.9667526196494154,2.9116688662903454,2.9041942985951077,2.9315943601217773,2.955912171564298,1.7747496479837344,1.8327170863061615,1.8072207742998516,1.7633003617662684,1.76947574566113,1.7149418995870411,1.7475376255118555,1.6943516334269169,1.8429127967301955,1.7584630376934902,1.81213637486136,1.7041105533174985,1.882717383126865,1.8686236415710622,1.797271337670282,1.7785740021786287,1.803100472510381,1.805037726748479,1.7780960837831004,1.8185891495528532,1.8296195351136475,1.8637036149353834,1.8554443018661926,1.7762915120983105,1.8384962347504243,1.8524918161241124,6.526081739564961,6.526081739564961,6.526081739564961,6.516644570514123,6.526081739564961,6.53650132529077,6.490788462018534,6.490788462018534,6.490788462018534,6.490788462018534,6.490788462018534,6.490788462018534,1.4541513774444979,1.4859164737392665,1.5215907981935368,1.5277942641715487,1.3542145001971662,1.379408916908735,4.272279963576776,4.298900978416034,4.321408529924497,4.302358694278788,4.337674003521047,1.710815228524916,5.980032244839007e-08
AQP1,3.402528197309394,3.50210030493201,3.426681900848053,3.6023435226284337,3.6101433679458044,3.7873834744798254,3.7021283635823283,3.6989753098008085,3.659502759032409,3.794006465770777,3.6635608599858345,3.8291977857043364,3.8188100118912796,5.562317614257877,5.55539712125607,2.5690036941366174,2.5691969135783834,3.2676914681339926,3.1060455853233013,5.847914149562382,5.8089509130766865,2.5075695073259525,2.36215809528632,5.830551087123482,5.873676612551969,5.847914149562382,5.813978722477329,5.798963167911016,5.873676612551969,5.770487938619016,2.913758129745839,2.7582276309362204,2.8102285926523694,2.7429148448054566,2.908423594427342,3.199953337065137,3.736697213656705,3.705382967547381,3.763188059591536,2.869036127637308,2.9620040767867213,5.597936033698811,5.650317818736319,3.7379787110794345,3.7665957453395102,3.4240613581661563,3.0256587769761585,3.2123532127119288,3.426681900848053,3.0660498990756633,3.0034738030241566,2.9131489391678005,3.020306066635939,2.8679333879558913,3.0875668328500163,3.302222043796951,3.3470557442269677,3.3616490228404117,3.25282637547394,3.3215582425556995,3.2503836658820626,3.617580802723462,3.685023686640051,3.675461815480146,3.6220818361563243,3.607356867454882,3.669883674125043,2.973330652072246,3.0647405552906344,2.947122409183323,3.0381487611037836,3.012487060563849,2.9760121092195706,2.991918021128171,3.0169591552774038,3.095910525374512,2.9730149829250947,2.9405746339117367,2.997937438092355,2.2639234481826525,2.2028663158311597,2.393033052157155,2.20902261922105,2.3586999593105014,2.3578051783982534,2.2855782263662894,2.2819299246304388,2.3355517829444983,2.4379919736269775,2.4079262600244533,2.342790558387385,2.4860227545413824,2.495602805064491,5.78089817647614,5.847914149562382,5.8531166836452275,5.7899855786141,5.824710870795868,5.770487938619016,5.722023083269782,5.741941241360713,5.691483396023545,5.683314338812852,5.699336146900393,5.7466695513727695,3.7873834744798254,3.8181332578051634,3.7980931693675313,3.7133740992555717,3.7757063243561655,3.751198838990993,5.215102754474845,5.198185655054084,5.221010373232251,5.224074778615806,5.23236873836439,1.5259340089096005,2.4690471963717583e-13
CNN1,2.640474391284982,2.5833452078976116,2.503732324086477,2.5574173421651145,2.5251762008358254,1.6999311033139586,1.7432798241765632,2.3856274469487926,2.351884949558038,2.3126797697016555,2.3973439302671773,2.2352308791093374,2.3338878231395848,3.812288793560779,3.745309153609201,1.8184802268172011,1.8085948539837435,2.378210326826006,1.6610244243869698,4.815390800881923,4.598958810732383,2.5885659028405237,2.6277416742665163,4.2192238239519,4.228046546925552,4.2394457912294286,4.10742169882286,4.0395974794682425,4.149076380945891,4.17719799701372,3.858535787903633,2.311214065963174,2.3052865528119275,2.4046998121058234,2.538258542631188,2.3080329960496484,3.099260337375153,2.4681564029889764,2.492462239292383,2.3599000669203223,2.3297094832819285,6.075052632407911,6.121640487955031,3.1772410748123336,3.1205207932815267,1.7143989505325326,1.570717404174001,1.5766946725613462,1.6325619852090796,1.8019469517759683,1.8638212401429979,1.7993945456496374,1.8400364401275124,1.8401459179282864,1.8400364401275124,1.8034383965980945,1.7800153299629413,1.7610409822265434,1.705812862382932,1.673858880115569,1.8184802268172011,3.149726036542908,3.0507501611807286,3.1170061384123104,3.0969506619568055,3.177650658291907,3.135421371097933,3.9073866964665145,3.906599417620391,3.9466078947428973,3.832680349147988,3.942156909969039,3.930636547271742,3.987440937061309,3.9822053847866408,4.023175992538074,3.925852558939668,4.048950290557066,3.986615673563422,2.8254250418628652,2.7083278218440143,2.6629426134692364,2.608640533665863,2.64502341306285,2.5911447305138324,2.6376401836429095,2.531596265990192,2.7759271266313186,2.7732451738295594,2.734219838113039,2.8441441399504135,2.875411914238636,2.859445761004565,6.2079335801515825,6.200541083897832,6.192992128206765,6.200541083897832,6.192992128206765,6.200541083897832,6.249876442537296,6.230370067426352,6.222845563607879,6.215288389632821,6.2079335801515825,6.2399155467995016,1.8995726855769628,1.9490496842484268,1.8650089645249115,1.938857879830066,1.8721701430723923,1.966884920814048,4.534033812081917,4.552733158049425,4.565026082120547,4.565026082120547,4.554243608860748,1.0194495298520136,6.76841298290659e-05
COXFA4L2,1.5565837780732135,1.5185264519690878,1.5099541871390134,1.5706237717719431,1.5548061820366839,1.549478547156661,1.5430786012410613,2.429736909655476,2.372130509311247,2.2672922969765534,2.2703738860404665,2.3220123170696207,2.3694234164312924,4.140017102485606,4.115493804280193,1.695197175356472,1.7104856094630925,1.7814873827184454,1.6063611784673417,5.03895551945337,4.694712442504253,1.9492957091701764,1.9256097387403017,4.583271714425386,4.618423358167821,4.571076440259565,4.589472210806804,4.555867744635808,4.597343242458019,4.6124366554493665,3.422299107029175,1.8406124936260306,1.852852802820248,1.8600269736355124,1.8599005779047562,1.749105854741241,1.9506342199075857,2.194361145334202,2.3025658658630332,1.8653615914912798,1.8510018928915002,5.167241319417384,5.114278246102625,1.9517808676726247,1.9522817790951683,1.3898935962418668,1.5678829291375382,1.5964082339554477,1.6377518436392284,1.4435184549903988,1.6273632855746765,1.634386907041335,1.6102376549721726,1.6485129288737654,1.7146193748325564,1.4760566459958766,1.540193811542751,1.5721392663765839,1.4786790938822014,1.4717932509575316,1.5809546119017057,1.8317654950173463,1.825121741993799,1.922308025360895,1.8164897696674973,1.807441525424386,1.882476221466856,3.472950381832054,3.492714719562316,3.5354581909987934,3.519093000981607,3.4473817617774034,3.444005654141052,3.782404297070915,3.6943404343012354,3.7551563951997333,3.7792669789901523,3.8173925298349327,3.6967285867952806,1.884319382158125,2.050214481836745,1.812016284516123,1.807441525424386,1.80297984443668,1.8342869161832784,1.8853667711769053,1.8626521068175872,1.8147831956611409,1.7650935067368423,1.8450189363346146,1.7723473677622543,1.7067149792811176,1.7732697680995846,5.316844906529625,5.323158855322021,5.362021510049295,5.338828080283075,5.329381119371809,5.320002096043355,5.005146789561341,5.000473942775156,5.02652055820951,4.977391966256448,4.966145287896397,5.023900356429178,1.6441238621053924,1.6979055607521278,1.7052635037966524,1.8488583016047204,1.694986492833126,1.7375343166766692,4.496965866964739,4.502665223295985,4.478142592365873,4.519185257708811,4.4565956342077815,1.2238333341534613,6.258937032159514e-07
DDX3Y,3.50210030493201,3.526102709339476,3.7200170316818837,3.6441769453563375,3.7545479195727935,3.2992113915025247,3.2532192380407445,3.393843361792631,3.4038028177330975,3.427129789136571,3.3574457463010816,3.343218546187313,3.336885837832595,1.1613719538329759,1.1732762857068695,3.6856858668941754,3.574197634104976,0.4955323660099602,0.5958426969043824,0.5365339969608997,0.0807452597188788,3.3621436678247396,3.327870260648937,0.7762786989783028,1.222215698373861,1.2272159484622176,0.2745210992190255,0.2743826657639913,1.065060050050071,0.2742328700890113,3.468578788004808,0.8942362936041822,0.9847023374047534,0.9682811225914052,1.1148743313031435,0.5832349257368639,0.9066374595582066,0.06926020591752148,0.0903841342679857,0.6181956115770815,1.2248336216403664,0.0990883159132344,0.9418925515605762,0.9303385147193549,0.9535911415465622,3.4469068487332017,0.6014469588173691,0.5067514870793486,0.05711009081936857,3.142707363868471,3.119896274584226,2.985155226322205,3.2003291303181087,3.196545106998176,3.076522692823692,3.318731250534458,3.465766551885856,3.287022328422694,3.2849932414248575,3.3787479292914973,3.3733268251021267,0.8313613869257271,0.12637340895759544,0.12742821903852,1.2381071587680519,1.0374113219446879,0.5836673626195867,3.5161066237250127,3.6220818361563243,3.628307960697494,3.6356316874669328,3.5266674685080144,3.7551563951997333,3.231332935557296,3.389878168796494,3.389878168796494,3.3508428320664425,3.29237062721639,3.3562635538682444,3.453486489340334,3.3995775743663526,3.474410284189497,3.3314571437002165,3.465766551885856,3.4680991540248303,3.428521088270245,3.466711292703892,3.5150644445247994,3.50210030493201,3.428032623412335,3.5161066237250127,3.46442950907516,3.6238605686942025,0.9654611303096517,0.9617619851424344,0.19096649185849912,1.5725495441049968,1.423374891611887,0.9629330117942436,0.1669258876606916,0.8496127478526749,0.1673676699145658,0.8767964068798162,0.9737056059634406,1.2979146292422499,0.9745478780604143,1.0621531277838885,0.9070248683667387,1.0988116254981641,1.0305327667943693,1.1139113349588357,3.1864018321791807,3.193898816743112,3.347489285806785,3.048245319641911,3.197679078301181,-1.1140044444550912,4.190461395657265e-06
IGFBP2,1.3954175437423715,1.372686693289871,1.4415993988153037,1.5075019934816174,1.3157500180901573,1.5378211894549854,1.5870997049473652,1.808119864897099,1.7745164992320617,1.7940911590433881,1.811216965723266,1.7591488184039092,1.8286748577409957,4.200618574924277,4.167127106606425,1.5059381524550772,1.5122539637347165,1.4459517660477297,2.023693460672329,5.126665473767098,4.668812783201133,1.674474612810742,1.6619799283805339,4.513137043015054,4.444083700303537,4.467442459317809,4.431398053624925,4.507349853744572,4.487055487915742,4.538442777664435,1.9890668257420292,1.421661846309907,1.4197592098334408,1.418517000198424,1.5481026250051968,1.480512060708726,2.6277416742665163,1.5969002108883263,1.608882553461278,1.526774418252679,1.5981275208627876,4.508906056357318,4.432755398853434,2.4370709345155723,2.3506725660265473,1.600277586564855,2.2369556734102707,2.0783994981824336,2.2222663546430375,1.6596528279673055,1.7173987462078544,1.6928411705439554,1.7059229140719645,1.701870792226413,1.7044672048379934,2.192253784340156,2.1142934531302795,2.0669135629694297,2.2416771865626473,2.1949971994700164,2.123520844227322,2.172914210211634,2.171324021105967,2.243242021275087,2.2190291930865578,2.3175468788380753,2.2441341440313076,2.0265194726341758,2.0045373648371334,2.0197010963655924,1.999673549656961,2.007893269140598,2.0010622861553014,2.116907536221785,2.1023377109723405,2.138420209770694,2.242794522619749,2.112786266558616,2.2358462771799914,1.8180188434936266,1.8247761690779132,1.6395591133186314,1.7641900089277243,1.7740585972029803,1.7584630376934902,1.754767174753097,1.8059830306938511,1.6918973260269123,1.6412502920944982,1.6500967906261081,1.7227836973761024,1.6848791534219671,1.6898795758031018,4.882589961593741,4.813522510092596,4.79712045565466,4.793577468391246,4.819111672136169,4.86485971241121,4.266180304721866,4.2735688850274425,4.237356833352822,4.27711488469013,4.232629925428542,4.2673356490951235,1.7395222179228473,1.7682342034593515,1.7612614629540158,1.7725675570922133,1.7433899926662382,1.7384142144527706,3.2660961827585417,3.3407404219978383,3.214660315035383,3.335669035266448,3.2571179846937537,1.130262309367711,8.325035644004705e-08
ITIH5,1.4653037314313047,1.4512701971696866,1.4234720599195057,1.4309373858083938,1.4188015195216657,1.6755565764541491,1.6353186736595666,1.5169714262246319,1.5609979917470984,1.6005865708757008,1.523190916341941,1.5670640576580437,1.6402036127872397,3.2777219083662317,3.204057326869741,1.421930081829133,1.5640604501622075,1.6996173841593614,1.7237601298448704,3.6741264253848676,3.638588462826201,1.4611198981245876,1.3959685078279835,3.3314571437002165,3.1826248209238495,3.4181453916424696,3.3777986367746404,3.294499577282052,3.2745230138847,3.455045371749513,1.5266726802612964,1.5352057108747703,1.4457652880142866,1.5701085354779118,1.5706237717719431,1.7557764642568776,2.2546007813567988,1.7558935880167448,1.7604883846220187,1.6381803093825467,1.5947904065752803,4.485567384929064,4.505784003672614,2.280768422650426,2.2043902689831145,1.656233271421583,1.6087836565295368,1.6862589496267766,1.6448591443645657,1.622331987897178,1.7268673179957184,1.648282935951338,1.7048235112017815,1.6420771342293785,1.6375437153651362,1.4899054295791052,1.3298082774718303,1.4019975469421198,1.494562723417011,1.2027095104076366,1.57030992707819,2.1659673851323906,2.116639560938556,2.0794800979264156,2.092708096226779,2.1236756248808915,2.060966116297146,1.4281944354467055,1.437254204366089,1.5089691487960297,1.6500967906261081,1.497975025414189,1.4967938496376498,1.4704064725865325,1.5295285538481644,1.5519032834507767,1.4636818321983163,1.4909936180693104,1.5526816907170717,1.3158351018595669,1.155808757537901,0.8309257369500114,1.4672635548351582,1.101008739169296,1.1149606691802465,1.237266102704298,1.0106996348998127,1.22229957144907,0.9774165970350424,0.9300206252118685,1.0346753491863907,1.038165298622189,1.5014815933715129,4.736913874321618,4.702933788684693,4.683470382521176,4.679639254546114,4.779811782031105,4.674358910083853,4.592638763800067,4.502665223295985,4.470321775439269,4.498400198544649,4.532618563828909,4.492551420249492,1.7162942977186275,1.7624960518780206,1.6620778295295737,1.7193341331731067,1.7823956334607116,1.6850744674422928,3.2765841526404635,3.333180508053982,3.3729585514952563,3.394251901395994,3.333557592261412,1.245050032390894,8.719217790046544e-10
MYBPH,5.03895551945337,5.265001491918949,4.968349203482581,5.262170128418408,5.114278246102625,6.425899435761419,6.4060251713222165,4.719768882529757,4.679639254546114,4.624936686524548,4.592638763800067,4.6138676586625404,4.597343242458019,4.279319595169506,4.23382032624407,4.957215055418305,4.94912107735342,5.712015701045539,7.004559596590804,3.318731250534458,3.6493821891640406,5.184581590411832,5.135824334541089,3.997673526985084,4.04801909132258,4.127454697184812,4.072157248985236,4.054280843142233,4.0470556430376785,4.180337085552988,4.244528684379866,5.05119205408632,5.244079543012427,4.99164874163258,5.241075280536136,5.883862356076007,5.067565269046966,5.883862356076007,5.982968697790078,5.03653735483113,5.23809262097393,1.764531020716135,1.6801278541428784,5.104403921506937,5.175711471090062,6.290208451151363,6.290208451151363,6.333572549622422,6.6093624078365805,6.808872524241993,6.826070261682721,6.808872524241993,6.826070261682721,6.842945895141468,6.842945895141468,6.03621522106978,6.043031793150374,6.030786737841673,6.049940672588604,6.030786737841673,6.043031793150374,5.03895551945337,5.00752506219211,5.012288751194386,5.000473942775156,5.029108802490959,4.9982216811085936,4.370048676894618,4.375240058913224,4.35916227863226,4.4064609957821155,4.386440429624294,4.3963638184261296,4.644227372523518,4.569566661769066,4.603238112205284,4.58197214986117,4.618423358167821,4.631481727576369,5.089137726007456,5.106761697032352,4.959474546304208,4.97063658786177,4.983077859594903,4.961803315407796,4.947130951297292,4.968349203482581,4.980237714051463,4.9982216811085936,4.99164874163258,4.989412366887776,5.016958283625831,5.005146789561341,1.724633957307617,1.7083276540364132,1.7327053950230968,1.6669942619709952,1.6991774699802586,1.7082252315818702,1.5896566845721267,1.6092935273054985,1.5412032347011189,1.6454968073635756,1.6234578452242818,1.6353186736595666,6.490788462018534,6.507695179293773,6.507695179293773,6.48183466831864,6.490788462018534,6.472697524067467,4.441568975040232,4.444083700303537,4.44946438552932,4.511734971467166,4.485567384929064,-1.1693153519329194,4.264525494999317e-06
MYH11,1.7245242118057595,1.8521505787985202,1.5705266081316802,1.518905495430166,1.4503074825207738,1.5166742421644681,1.4898135760947195,1.6391217111286807,1.6589030131417284,1.6895429407923275,1.6382799406339599,1.6368072098685598,1.667925405578686,3.4695256273739488,3.5681918362678102,1.7351378401936999,1.5410036936196945,1.704351543023658,1.6328615470235108,4.8423749424507205,4.6005725718739265,1.5135483327398522,1.5979090226188402,3.665437323736604,3.6989753098008085,3.7867422713393664,3.665437323736604,3.6017634675364203,3.605729341021942,3.750564189235254,2.4568377821898264,1.6106441742897897,1.6709980957999562,1.6916851658194516,1.7407337827361336,1.541103343517105,2.801110115284404,1.8510018928915002,1.893576158415308,1.8882007572226407,1.7238669844382748,6.435364518340919,6.507695179293773,2.7899205429627068,2.8054997838324294,1.6351152599715992,1.6575632656909176,1.6092935273054985,1.5754483402612125,1.7531123967427373,1.7602623610078303,1.767889757739604,1.689766312269173,1.4738261828425394,1.701870792226413,1.7929481127580327,1.633758743044326,1.596703836210198,1.649783959913803,1.656623775500157,1.6229672980014251,2.744278923050814,2.5624571222839663,2.6080674931308763,2.827492676712338,2.531398379802806,2.6756993698579463,2.3592229140584147,2.3995806766699395,2.352562043592653,2.45064780406864,2.311214065963174,2.3754328884273304,2.425809353255217,2.387035514497351,2.5164124292308703,2.3564790610537085,2.378738831872562,2.410521972458146,1.7755979905711976,1.8335088985927401,1.7443712478347222,1.9342594311433068,1.6554427109888807,1.8130917608752144,1.906720290649711,1.690427233158042,1.7774046125524032,1.7432798241765632,1.9202669075589665,1.7368647047253467,1.8317654950173463,1.7126336661035442,6.472697524067467,6.435364518340919,6.435364518340919,6.435364518340919,6.443985789965422,6.443985789965422,6.548548633396221,6.560055068062568,6.526081739564961,6.569880968351775,6.516644570514123,6.507695179293773,1.6818756784254723,1.5766946725613462,1.5572672120081208,1.5260718688148212,1.7473303256441381,1.6599676430526051,5.23809262097393,5.111472666423068,5.148239428889298,5.159396109768098,5.122083162613562,1.51219332780629,7.294366521368178e-07
