GeneName,p-value
NQO1,7.482738103091098e-16
GOLM1,1.8160289752587332e-15
SAMD9L,2.2657369479162233e-15
HRNR,2.3600317107208784e-15
FERMT1,6.812118516717344e-15
CCDC8,6.042572114585865e-14
AQP1,2.4690471963717583e-13
CEP78,2.542115289913195e-13
CD99,5.063353693634818e-13
LIAT1,6.658127654071564e-13
LINC00943,7.700641095691221e-13
TIPIN,9.014590445701751e-13
MTCL2,1.086103335596342e-12
AKR1C3,1.397289736526143e-12
LINC02610,1.9631464375573935e-12
SDC1,1.9816082730207384e-12
KLF10,2.057927736858428e-12
OLFML3,3.0431582544563882e-12
EDIL3,3.9080389149031295e-12
CUEDC1,5.375671717197261e-12
SLFN12,5.460721355065158e-12
STEAP3,7.997473206187213e-12
ING3,8.200629179785718e-12
KCTD2,9.291779263526627e-12
HIF1A,1.046232749529221e-11
IGFBP5,1.4978008248349318e-11
TOP1,1.716473393779782e-11
TIMM23B,1.730687159253562e-11
ZSCAN31,1.7660914591731986e-11
CYB561A3,1.9781342990873866e-11
ANO1,2.05264102974768e-11
TMOD2,2.07442078627437e-11
SSH1,2.0756377075356186e-11
LACTB,2.559982905006532e-11
TMEM140,2.5873046386620122e-11
DHX40,2.784617050557385e-11
HOXA11,2.905644016310287e-11
APOL6,2.965397030205395e-11
EBP,3.202869959397487e-11
PICSAR,3.45632788209722e-11
LINC00165,3.4687009164493464e-11
CTSB,3.5784846009661616e-11
DYNLL2,3.862394563837348e-11
MYLIP,4.160756135947434e-11
LSS,4.3032463160856475e-11
PPP1R14C,4.518341069907382e-11
KCNK3,5.450011565950698e-11
RBPMS2,5.854409254395552e-11
TCTA,6.47843275318172e-11
OAS1,6.482206864873244e-11
LINC00632,7.234032694833696e-11
EPOP,7.369868354690846e-11
PCDHGB5,7.395214461976599e-11
EFS,7.518613571577591e-11
PELI1,7.701775652436951e-11
SPCS3,8.156023102884613e-11
PITPNM2,8.579157592845095e-11
GDF6,9.317138940046689e-11
PMM2,1.1219389374021142e-10
HEY2,1.1316168524516426e-10
STAT2,1.149159305322631e-10
FREM3,1.2471719528169563e-10
PDCD1LG2,1.2528483071077708e-10
ARFGAP3,1.300014004739194e-10
TPD52L1,1.342789289337371e-10
DGLUCY,1.4604598329747836e-10
EHD4,1.470013135082267e-10
SLC4A7,1.478668355039795e-10
LBH,1.573474064001461e-10
LINC01115,1.6252560571827117e-10
SUFU,1.6599936713092214e-10
HOXA10,1.724614951460991e-10
YRDC,1.7895872297998002e-10
SNPH,1.8333064091138544e-10
USP44,1.9200585667691736e-10
TREX1,2.0004196222407986e-10
NEK6,2.0820438551245988e-10
TIAM1,2.2328522342758672e-10
MMP19,2.308750234816483e-10
FTSJ1,2.3633839000679213e-10
ANXA7,2.385616967128703e-10
REEP2,2.6414375989370045e-10
F2R,2.6771739913377515e-10
KLF11,2.979549179108908e-10
RIN2,3.056551067311797e-10
INAFM2,3.111989375972527e-10
MIR210HG,3.3135103687099136e-10
ZFHX4,3.316278961452181e-10
PICALM,3.636769753412656e-10
P4HA1,3.73630057683322e-10
PEBP1,3.8069343531420006e-10
ACSL5,4.4119574064641547e-10
KIAA0930,4.427781439788589e-10
CAPN5,4.5764349055243456e-10
CCNC,4.713269866677671e-10
ADI1,4.88729470277964e-10
VAMP1,4.972082380574646e-10
CD36,5.220201052292474e-10
SLC11A2,5.317749464779674e-10
SHROOM3,5.732343948283823e-10
MAZ,6.029373760882648e-10
TET3,6.846550848952699e-10
SLC19A2,7.515823114125577e-10
RASSF3,7.550318935063085e-10
RASSF7,7.611423067767897e-10
NEFM,7.683482781160751e-10
SERPINB7,8.197848275306591e-10
ITIH5,8.719217790046544e-10
ATP6V1B2,9.049131434538881e-10
PPA2,9.080337431898275e-10
ALX1,9.097432975758985e-10
PDLIM5,9.165569328948893e-10
NCAM2,9.699030163144618e-10
SERPINE1,1.0385045547491647e-09
FOXC2,1.1189392052473222e-09
ERO1A,1.1687312598746852e-09
CHSY1,1.2119877645267927e-09
TBC1D15,1.2190758239582938e-09
LINC00547,1.2853540619043166e-09
LANCL1,1.3180565426601758e-09
PDK1,1.35192555217368e-09
CORO1C,1.3767729516091518e-09
MYO16,1.399203262700015e-09
CTSC,1.4134368021761797e-09
ARHGAP21,1.4409885216344601e-09
PLCL2,1.554734822810134e-09
COQ10B,1.6269543164687838e-09
ZNF385D,1.6371492554515223e-09
TP53I3,1.7122136432342668e-09
SMG9,1.79899646295529e-09
RAB44,1.9142497495687424e-09
PDCD6IP-DT,1.9548078452817824e-09
SDK1,2.0580018428962034e-09
ABCA3,2.0669558662417695e-09
BNIP3,2.0784646304643656e-09
FH,2.1159359770463807e-09
PLCB4,2.1300547566889753e-09
LEISA1,2.1929646338097453e-09
CFH,2.2851589355033447e-09
EDIL3-DT,2.334169460459429e-09
TMEM30A,2.376708667928104e-09
TSHZ1,2.4019281629773087e-09
FGD1,2.4544087560251414e-09
NCOA6,2.6619869891156565e-09
CSTB,2.7092750783060768e-09
ENDOD1,2.7589522178834134e-09
ITGAL,2.7824310683052917e-09
MIR450B,2.8200500215460217e-09
NET1,2.8275088041109014e-09
ARHGAP31,2.915615876057634e-09
PLXNA2,2.9478978973039147e-09
ARHGEF28,3.0153215908144285e-09
KIFAP3,3.087393608098373e-09
ACTN1,3.131392820478402e-09
ARSJ,3.279857156230901e-09
ARHGEF7-AS2,3.395246294219187e-09
BEX4,3.4050942859984544e-09
CRACR2A,3.4136108048071233e-09
EDN1,3.475387209705939e-09
PCSK9,3.6710778827987844e-09
KDM5C,3.732193604121922e-09
LRRC8D,3.7363715679181925e-09
ADAMTS8,3.7602208885785204e-09
TNFSF10,3.774173918122846e-09
KCTD16,3.7976419115364e-09
ZNF587B,3.940465270897913e-09
ZNF521,4.104522023567125e-09
TRERF1,4.136823398742632e-09
JAKMIP3,4.249930992455228e-09
TMEM164,4.3316275686566144e-09
FAM162A,4.349557769835913e-09
SSTR1,4.362491342433689e-09
MAVS,4.382660562536167e-09
TM4SF1-AS1,4.462689121013551e-09
FDPS,4.477278791527913e-09
MT-ND4,4.521483677508405e-09
LINC00339,4.562643883697509e-09
ARL4A,4.677271343002177e-09
YEATS4,4.876342971060947e-09
DDB1,4.9338916614753955e-09
ROR2,5.004431573306415e-09
CLEC14A,5.0236690359722075e-09
MAP1LC3C,5.030817422447139e-09
EVC2,5.1933613586711896e-09
HECW2-AS1,5.294963003612351e-09
XYLT1,5.550054714245516e-09
GSTT2B,5.56501639639592e-09
LOC105379499,5.848067552419301e-09
MRPL21,5.9536395980522874e-09
GRIN2A,6.025037290479724e-09
SLC8A1,6.1176532370674746e-09
CTSA,6.128231881724951e-09
BOC,6.167771596219483e-09
GOLGA8O,6.204619916194016e-09
MIR503HG,6.3546641105710375e-09
PLK2,6.37251300199827e-09
CCR5AS,6.504435968921285e-09
PNMA2,6.571711564001502e-09
CCDC47,7.1869421820693e-09
WFDC1,7.229874941069698e-09
CDC73,7.63417403105582e-09
GAL3ST4,7.6817000882933e-09
PDZRN4,7.713041134872074e-09
FAM221A,7.94570291432184e-09
APP,8.167653957074924e-09
DMBT1,8.218583041711585e-09
ALDH3A1,8.231436198213316e-09
LUM,8.534143969977496e-09
HMGA2,8.538335060115147e-09
ZSWIM4,8.839784826669396e-09
SERTAD4-AS1,8.897208960823886e-09
FGD4,9.296137045693338e-09
LINC01730,9.39721572000423e-09
ZNF697,9.508322957232114e-09
NANS,1.0663460589204245e-08
C11orf87,1.0697020365128935e-08
SPOCD1,1.1092639762996456e-08
CHST7,1.1180572493031158e-08
SLC7A2,1.1228031008746321e-08
HCN3,1.1450309639468864e-08
FBXO33,1.146885089309621e-08
EDNRB,1.164285895742003e-08
TRAPPC2B,1.3025268129955631e-08
KCNMB1,1.3211145584371352e-08
TBX2,1.3991112780199047e-08
PTGS2,1.4024210432433176e-08
GNG2,1.4144128031234798e-08
CPED1,1.4639827140673657e-08
SMAP2,1.5357696406552852e-08
MGMT,1.5456028396447142e-08
UBTF,1.5459102380168116e-08
FIBCD1,1.5560443019393862e-08
IGF2BP3,1.576411392327554e-08
ETS1,1.581469645583496e-08
PLCL1,1.5846786740898942e-08
SIRPA,1.649286350906936e-08
LINC01121,1.6669836848597464e-08
AKTIP,1.6999342100617865e-08
FGF5,1.7168360291280404e-08
LINC00184,1.723623664412515e-08
PPP2CB,1.8596988297247066e-08
CNDP2,1.8767934600358873e-08
GADD45B,1.8831531733998623e-08
MPP7,1.963899754661416e-08
PTPRJ,1.9845082582829057e-08
MRPS18B,1.9883166944355855e-08
YEATS2,2.0180985158681368e-08
CYTH3,2.0503037880513897e-08
GCA,2.147280586878123e-08
STXBP6,2.190785813809239e-08
BACH1,2.1933425287193944e-08
DIPK1A,2.197452097221044e-08
CERS5,2.256362172147225e-08
DAPK3,2.2683201014323082e-08
TACR3,2.2861816283133485e-08
TUBB3,2.334563064826588e-08
MAP2K1,2.3792179431216052e-08
ASAP3,2.4961889752770455e-08
LINC01203,2.49664218061634e-08
BNIP3L,2.5123465007544293e-08
IARS2,2.5142972331700756e-08
FAM120C,2.516337995797291e-08
PLOD2,2.58457051878357e-08
PDCD10,2.6065940891661926e-08
TNNC2,2.6290351210617576e-08
ADAMTS6,2.6753163381636644e-08
HHIP,2.71603968146219e-08
PTBP2,2.7293762968291077e-08
DNAH1,2.7495656277741408e-08
CALY,2.7765635601663644e-08
DDX60L,2.8125451772403316e-08
SLC43A2,2.85298365432997e-08
EIF5A,2.9140500677734003e-08
XG,2.9574157882556263e-08
BTAF1,3.0041682046629623e-08
NARF,3.119391164324173e-08
PPME1,3.168268892796221e-08
WNT16,3.247796781961651e-08
CTPS1,3.250357269989114e-08
RAB11FIP1,3.282160077555677e-08
RTL3,3.321775948459828e-08
HEPHL1,3.3648314472986505e-08
SLC16A5,3.418427124857861e-08
CCDC152,3.4256497620012264e-08
PGRMC1,3.44282205083086e-08
RCAN1,3.46792738815781e-08
RGS5,3.581307626675383e-08
NCOR2,3.590774843696516e-08
ARHGAP24,3.7737197170676076e-08
ZNF594,3.7846937507523955e-08
LINC02701,3.806457976407319e-08
HBEGF,3.829929770814972e-08
DLL4,3.867997499828844e-08
SNX29,3.946634783004408e-08
PCDHGA10,3.95521935563198e-08
ALPK2,4.0581831012993884e-08
PARVA,4.107662781475845e-08
PLEKHA3,4.1331013190701456e-08
RBPJ,4.21577245805069e-08
B4GALT5,4.2776035621002675e-08
UNK,4.3194732977693243e-08
IRF2BPL,4.398210020405932e-08
CTDNEP1,4.432002577594533e-08
NPR3,4.436785116106603e-08
PCDHGB6,4.448520705381814e-08
HSPA12A,4.508816035115761e-08
LINC02389,4.659639070536137e-08
SCAF8,4.687562999059983e-08
ARMCX2,4.691006064690967e-08
ESYT3,4.699401767602095e-08
RUBCNL,4.745995440027426e-08
SLC20A2,4.819130272813722e-08
SCN3A,4.8385885248707714e-08
GPX4,5.1755619738526516e-08
NAT10,5.1967091658515935e-08
FAM53B,5.266657045885856e-08
MORF4L1,5.298735213437958e-08
PLN,5.424562495696045e-08
ABCB6,5.4803604779678494e-08
LOC124904434,5.5272497085180144e-08
TSPAN14,5.5291685644478986e-08
CSGALNACT2,5.637267392535686e-08
LINC02405,5.6711334223376774e-08
ENPP2,5.697990322099436e-08
ZSWIM6,5.828848158502495e-08
FERMT2,5.835773969928445e-08
LINC02454,5.838178223849446e-08
ACTG2,5.980032244839007e-08
ZNF223,6.152164276676935e-08
IL6R,6.282913497178672e-08
RAPGEF5,6.334471071752579e-08
SNIP1,6.391639151558603e-08
NKD1,6.416593593809665e-08
TENM3,6.610600658852093e-08
COL4A5,6.65116756781782e-08
PTPN1,6.669716712805522e-08
EPSTI1,6.684398994351503e-08
YWHAB,7.168151678751934e-08
ADGRG5,7.173930842323859e-08
ABHD16A,7.203494607262595e-08
GAS7,7.203694022158347e-08
AKR1C2,7.206852978895024e-08
