method,group,cluster,a_inCl_inGrp,b_inCl_notGrp,c_notCl_inGrp,d_notCl_notGrp,odds_ratio,p,q
Agglomerative,ngt,2,20,9,38,49,2.865497076023392,0.015484014392067752,0.04192737732822394
Agglomerative,ngt,1,16,8,42,50,2.380952380952381,0.053702832978025354,0.13425708244506337
Agglomerative,ngt,0,13,16,45,42,0.7583333333333333,0.8043335298976675,1.0
Agglomerative,ngt,3,0,14,58,44,0.0,1.0,1.0
Agglomerative,ngt,4,9,11,49,47,0.7847866419294991,0.7692030035383246,1.0
Agglomerative,t2d,3,14,0,44,58,inf,2.505530360097376e-05,0.0001252765180048688
Agglomerative,t2d,0,16,13,42,45,1.3186813186813187,0.33425102758977265,0.7036863738732057
Agglomerative,t2d,4,11,9,47,49,1.2742316784869976,0.4032018552987613,0.8064037105975226
Agglomerative,t2d,1,8,16,50,42,0.42,0.9811568055047377,1.0
Agglomerative,t2d,2,9,20,49,38,0.3489795918367347,0.9953201662864766,1.0
GMM,ngt,0,42,20,16,38,4.9875,3.878586859360712e-05,0.00015514347437442847
GMM,ngt,3,16,6,42,52,3.3015873015873014,0.01572276649808398,0.04192737732822394
GMM,ngt,1,0,14,58,44,0.0,1.0,1.0
GMM,ngt,2,0,2,58,56,0.0,1.0,1.0
GMM,ngt,4,0,16,58,42,0.0,1.0,1.0
GMM,t2d,4,16,0,42,58,inf,4.6014981957913365e-06,6.135330927721783e-05
GMM,t2d,1,14,0,44,58,inf,2.505530360097376e-05,0.0001252765180048688
GMM,t2d,2,2,0,56,58,inf,0.24782608695652178,0.5507246376811595
GMM,t2d,0,20,42,38,16,0.20050125313283207,0.9999928381388674,1.0
GMM,t2d,3,6,16,52,42,0.30288461538461536,0.995934832455477,1.0
KMeans,ngt,0,42,20,16,38,4.9875,3.878586859360712e-05,0.00015514347437442847
KMeans,ngt,3,16,6,42,52,3.3015873015873014,0.01572276649808398,0.04192737732822394
KMeans,ngt,1,0,14,58,44,0.0,1.0,1.0
KMeans,ngt,2,0,2,58,56,0.0,1.0,1.0
KMeans,ngt,4,0,16,58,42,0.0,1.0,1.0
KMeans,t2d,4,16,0,42,58,inf,4.6014981957913365e-06,6.135330927721783e-05
KMeans,t2d,1,14,0,44,58,inf,2.505530360097376e-05,0.0001252765180048688
KMeans,t2d,2,2,0,56,58,inf,0.24782608695652178,0.5507246376811595
KMeans,t2d,0,20,42,38,16,0.20050125313283207,0.9999928381388674,1.0
KMeans,t2d,3,6,16,52,42,0.30288461538461536,0.995934832455477,1.0
Spectral,ngt,4,14,0,44,58,inf,2.505530360097376e-05,0.0001252765180048688
Spectral,ngt,3,13,0,45,58,inf,5.734880602000662e-05,0.00020854111280002406
Spectral,ngt,2,20,9,38,49,2.865497076023392,0.015484014392067752,0.04192737732822394
Spectral,ngt,0,0,14,58,44,0.0,1.0,1.0
Spectral,ngt,1,11,35,47,23,0.15379939209726443,0.9999993535528607,1.0
Spectral,t2d,1,35,11,23,47,6.5019762845849804,4.538419853888095e-06,6.135330927721783e-05
Spectral,t2d,0,14,0,44,58,inf,2.505530360097376e-05,0.0001252765180048688
Spectral,t2d,2,9,20,49,38,0.3489795918367347,0.9953201662864766,1.0
Spectral,t2d,3,0,13,58,45,0.0,1.0,1.0
Spectral,t2d,4,0,14,58,44,0.0,1.0,1.0
