,true_class,consensus_score,consensus_auc_overall,class_max_model_agreement,cluster_max_model_agreement,classcount_ngt,classcount_t2d,cluster_modal,cluster_modal_count
SRR3593332,t2d,0.7050221785496472,1.0,4,5,1,4,0,5
SRR3593284,ngt,0.026481347214891798,1.0,5,5,5,0,0,5
SRR3593329,t2d,0.9809607619720175,1.0,5,5,0,5,1,5
SRR3593270,ngt,0.06780642740192083,1.0,5,5,5,0,0,5
SRR3593278,ngt,0.08398289832262955,1.0,5,5,5,0,0,5
SRR3593219,t2d,0.6669546193113394,1.0,4,5,1,4,0,5
SRR3593269,t2d,0.4775593030563402,1.0,3,5,2,3,0,5
SRR3593318,t2d,0.9819182973907248,1.0,5,5,0,5,1,5
SRR3593226,t2d,0.6562215218934631,1.0,4,5,1,4,0,5
SRR3593221,t2d,0.6520127875413884,1.0,4,5,1,4,0,5
SRR3593241,t2d,0.47460619508734314,1.0,3,5,3,2,3,5
SRR3593227,t2d,0.6795131779080638,1.0,4,5,1,4,0,5
SRR3593322,t2d,0.9782962253183942,1.0,5,5,0,5,1,5
SRR3593298,ngt,0.03791755253802641,1.0,5,5,5,0,0,5
SRR3593311,ngt,0.030235482310296546,1.0,5,5,5,0,3,5
SRR3593254,ngt,0.19236229170358662,1.0,5,5,5,0,0,5
SRR3593274,ngt,0.036530803265227,1.0,5,5,5,0,0,5
SRR3593276,ngt,0.08230563368450802,1.0,5,5,5,0,0,5
SRR3593294,ngt,0.03277182978494673,1.0,5,5,5,0,0,5
SRR3593258,ngt,0.23734396284533874,1.0,5,5,5,0,0,5
SRR3593238,t2d,0.9418822184101193,1.0,5,5,0,5,4,5
SRR3593326,t2d,0.9815927642063274,1.0,5,5,0,5,1,5
SRR3593307,ngt,0.025515911137675408,1.0,5,5,5,0,3,5
SRR3593317,ngt,0.011033942431883903,1.0,5,5,5,0,3,5
