sample_id,cluster_label
SRR3593218,0
SRR3593219,0
SRR3593220,0
SRR3593221,0
SRR3593222,0
SRR3593223,7
SRR3593224,7
SRR3593225,6
SRR3593226,6
SRR3593227,6
SRR3593228,6
SRR3593229,6
SRR3593230,6
SRR3593231,1
SRR3593232,1
SRR3593233,2
SRR3593234,2
SRR3593236,7
SRR3593237,7
SRR3593238,1
SRR3593239,1
SRR3593240,4
SRR3593241,4
SRR3593242,1
SRR3593243,1
SRR3593244,1
SRR3593245,1
SRR3593246,1
SRR3593247,1
SRR3593248,1
SRR3593249,3
SRR3593250,4
SRR3593251,4
SRR3593252,4
SRR3593253,4
SRR3593254,7
SRR3593256,6
SRR3593257,7
SRR3593258,7
SRR3593260,4
SRR3593261,4
SRR3593262,5
SRR3593263,5
SRR3593264,6
SRR3593265,6
SRR3593266,7
SRR3593267,7
SRR3593268,7
SRR3593269,7
SRR3593270,8
SRR3593271,8
SRR3593272,8
SRR3593273,8
SRR3593274,8
SRR3593275,8
SRR3593276,9
SRR3593277,9
SRR3593278,9
SRR3593279,9
SRR3593280,9
SRR3593281,9
SRR3593282,6
SRR3593283,6
SRR3593284,6
SRR3593285,6
SRR3593286,6
SRR3593287,6
SRR3593288,3
SRR3593289,3
SRR3593290,3
SRR3593291,3
SRR3593292,3
SRR3593293,3
SRR3593294,10
SRR3593295,10
SRR3593296,10
SRR3593297,10
SRR3593298,10
SRR3593299,10
SRR3593300,11
SRR3593301,11
SRR3593306,11
SRR3593307,11
SRR3593308,11
SRR3593309,11
SRR3593310,11
SRR3593311,11
SRR3593312,11
SRR3593313,11
SRR3593314,11
SRR3593315,11
SRR3593316,11
SRR3593317,11
SRR3593318,5
SRR3593319,5
SRR3593320,5
SRR3593321,5
SRR3593322,5
SRR3593323,5
SRR3593324,5
SRR3593325,5
SRR3593326,5
SRR3593327,5
SRR3593328,5
SRR3593329,5
SRR3593330,12
SRR3593331,12
SRR3593332,12
SRR3593333,12
SRR3593334,12
SRR3593335,12
SRR3593336,13
SRR3593337,13
SRR3593338,13
SRR3593339,13
SRR3593340,13
