sample_id,cluster_label
SRR3593218,4
SRR3593219,4
SRR3593220,4
SRR3593221,4
SRR3593222,4
SRR3593223,1
SRR3593224,1
SRR3593225,4
SRR3593226,4
SRR3593227,4
SRR3593228,4
SRR3593229,4
SRR3593230,4
SRR3593231,0
SRR3593232,0
SRR3593233,5
SRR3593234,5
SRR3593236,1
SRR3593237,1
SRR3593238,0
SRR3593239,0
SRR3593240,5
SRR3593241,5
SRR3593242,0
SRR3593243,0
SRR3593244,0
SRR3593245,0
SRR3593246,0
SRR3593247,0
SRR3593248,0
SRR3593249,2
SRR3593250,5
SRR3593251,5
SRR3593252,5
SRR3593253,5
SRR3593254,1
SRR3593256,4
SRR3593257,1
SRR3593258,1
SRR3593260,5
SRR3593261,5
SRR3593262,3
SRR3593263,3
SRR3593264,4
SRR3593265,4
SRR3593266,1
SRR3593267,1
SRR3593268,1
SRR3593269,1
SRR3593270,1
SRR3593271,1
SRR3593272,1
SRR3593273,1
SRR3593274,1
SRR3593275,1
SRR3593276,6
SRR3593277,6
SRR3593278,6
SRR3593279,6
SRR3593280,6
SRR3593281,6
SRR3593282,4
SRR3593283,4
SRR3593284,4
SRR3593285,4
SRR3593286,4
SRR3593287,4
SRR3593288,2
SRR3593289,2
SRR3593290,2
SRR3593291,2
SRR3593292,2
SRR3593293,2
SRR3593294,2
SRR3593295,2
SRR3593296,2
SRR3593297,2
SRR3593298,2
SRR3593299,2
SRR3593300,7
SRR3593301,7
SRR3593306,7
SRR3593307,7
SRR3593308,7
SRR3593309,7
SRR3593310,7
SRR3593311,7
SRR3593312,7
SRR3593313,7
SRR3593314,7
SRR3593315,7
SRR3593316,7
SRR3593317,7
SRR3593318,3
SRR3593319,3
SRR3593320,3
SRR3593321,3
SRR3593322,3
SRR3593323,3
SRR3593324,3
SRR3593325,3
SRR3593326,3
SRR3593327,3
SRR3593328,3
SRR3593329,3
SRR3593330,1
SRR3593331,1
SRR3593332,1
SRR3593333,1
SRR3593334,1
SRR3593335,1
SRR3593336,0
SRR3593337,0
SRR3593338,0
SRR3593339,0
SRR3593340,0
