sample_id,cluster_label
SRR3593218,0
SRR3593219,0
SRR3593220,0
SRR3593221,0
SRR3593222,0
SRR3593223,6
SRR3593224,6
SRR3593225,0
SRR3593226,0
SRR3593227,0
SRR3593228,0
SRR3593229,0
SRR3593230,0
SRR3593231,8
SRR3593232,8
SRR3593233,3
SRR3593234,3
SRR3593236,6
SRR3593237,5
SRR3593238,8
SRR3593239,8
SRR3593240,3
SRR3593241,3
SRR3593242,8
SRR3593243,4
SRR3593244,4
SRR3593245,4
SRR3593246,8
SRR3593247,4
SRR3593248,4
SRR3593249,2
SRR3593250,3
SRR3593251,3
SRR3593252,3
SRR3593253,3
SRR3593254,6
SRR3593256,0
SRR3593257,6
SRR3593258,6
SRR3593260,3
SRR3593261,3
SRR3593262,9
SRR3593263,9
SRR3593264,0
SRR3593265,0
SRR3593266,6
SRR3593267,6
SRR3593268,6
SRR3593269,6
SRR3593270,5
SRR3593271,5
SRR3593272,5
SRR3593273,5
SRR3593274,5
SRR3593275,5
SRR3593276,6
SRR3593277,6
SRR3593278,6
SRR3593279,6
SRR3593280,6
SRR3593281,6
SRR3593282,0
SRR3593283,0
SRR3593284,0
SRR3593285,0
SRR3593286,0
SRR3593287,0
SRR3593288,2
SRR3593289,2
SRR3593290,2
SRR3593291,2
SRR3593292,2
SRR3593293,2
SRR3593294,7
SRR3593295,7
SRR3593296,7
SRR3593297,7
SRR3593298,7
SRR3593299,7
SRR3593300,3
SRR3593301,3
SRR3593306,3
SRR3593307,3
SRR3593308,3
SRR3593309,3
SRR3593310,3
SRR3593311,3
SRR3593312,3
SRR3593313,3
SRR3593314,3
SRR3593315,3
SRR3593316,3
SRR3593317,3
SRR3593318,1
SRR3593319,1
SRR3593320,1
SRR3593321,1
SRR3593322,1
SRR3593323,1
SRR3593324,9
SRR3593325,9
SRR3593326,9
SRR3593327,9
SRR3593328,9
SRR3593329,9
SRR3593330,6
SRR3593331,6
SRR3593332,6
SRR3593333,6
SRR3593334,6
SRR3593335,6
SRR3593336,0
SRR3593337,0
SRR3593338,0
SRR3593339,0
SRR3593340,0
