sample_id,cluster_label
SRR3593218,0
SRR3593219,0
SRR3593220,0
SRR3593221,0
SRR3593222,0
SRR3593223,0
SRR3593224,0
SRR3593225,0
SRR3593226,0
SRR3593227,0
SRR3593228,0
SRR3593229,0
SRR3593230,0
SRR3593231,0
SRR3593232,0
SRR3593233,0
SRR3593234,0
SRR3593236,0
SRR3593237,0
SRR3593238,0
SRR3593239,0
SRR3593240,0
SRR3593241,0
SRR3593242,0
SRR3593243,0
SRR3593244,0
SRR3593245,0
SRR3593246,0
SRR3593247,0
SRR3593248,0
SRR3593249,0
SRR3593250,0
SRR3593251,0
SRR3593252,0
SRR3593253,0
SRR3593254,0
SRR3593256,0
SRR3593257,0
SRR3593258,0
SRR3593260,0
SRR3593261,0
SRR3593262,1
SRR3593263,1
SRR3593264,0
SRR3593265,0
SRR3593266,0
SRR3593267,0
SRR3593268,0
SRR3593269,0
SRR3593270,0
SRR3593271,0
SRR3593272,0
SRR3593273,0
SRR3593274,0
SRR3593275,0
SRR3593276,0
SRR3593277,0
SRR3593278,0
SRR3593279,0
SRR3593280,0
SRR3593281,0
SRR3593282,0
SRR3593283,0
SRR3593284,0
SRR3593285,0
SRR3593286,0
SRR3593287,0
SRR3593288,0
SRR3593289,0
SRR3593290,0
SRR3593291,0
SRR3593292,0
SRR3593293,0
SRR3593294,0
SRR3593295,0
SRR3593296,0
SRR3593297,0
SRR3593298,0
SRR3593299,0
SRR3593300,0
SRR3593301,0
SRR3593306,0
SRR3593307,0
SRR3593308,0
SRR3593309,0
SRR3593310,0
SRR3593311,0
SRR3593312,0
SRR3593313,0
SRR3593314,0
SRR3593315,0
SRR3593316,0
SRR3593317,0
SRR3593318,1
SRR3593319,1
SRR3593320,1
SRR3593321,1
SRR3593322,1
SRR3593323,1
SRR3593324,1
SRR3593325,1
SRR3593326,1
SRR3593327,1
SRR3593328,1
SRR3593329,1
SRR3593330,0
SRR3593331,0
SRR3593332,0
SRR3593333,0
SRR3593334,0
SRR3593335,0
SRR3593336,0
SRR3593337,0
SRR3593338,0
SRR3593339,0
SRR3593340,0
