sample_id,cluster_label
SRR3593218,1
SRR3593219,1
SRR3593220,1
SRR3593221,1
SRR3593222,1
SRR3593223,2
SRR3593224,2
SRR3593225,1
SRR3593226,1
SRR3593227,1
SRR3593228,1
SRR3593229,1
SRR3593230,1
SRR3593231,1
SRR3593232,1
SRR3593233,1
SRR3593234,1
SRR3593236,2
SRR3593237,2
SRR3593238,1
SRR3593239,1
SRR3593240,1
SRR3593241,1
SRR3593242,1
SRR3593243,1
SRR3593244,1
SRR3593245,1
SRR3593246,1
SRR3593247,1
SRR3593248,1
SRR3593249,3
SRR3593250,1
SRR3593251,1
SRR3593252,1
SRR3593253,1
SRR3593254,2
SRR3593256,1
SRR3593257,2
SRR3593258,2
SRR3593260,1
SRR3593261,1
SRR3593262,0
SRR3593263,0
SRR3593264,1
SRR3593265,1
SRR3593266,2
SRR3593267,2
SRR3593268,2
SRR3593269,2
SRR3593270,2
SRR3593271,2
SRR3593272,2
SRR3593273,2
SRR3593274,2
SRR3593275,2
SRR3593276,2
SRR3593277,2
SRR3593278,2
SRR3593279,2
SRR3593280,2
SRR3593281,2
SRR3593282,1
SRR3593283,1
SRR3593284,1
SRR3593285,1
SRR3593286,1
SRR3593287,1
SRR3593288,3
SRR3593289,3
SRR3593290,3
SRR3593291,3
SRR3593292,3
SRR3593293,3
SRR3593294,3
SRR3593295,3
SRR3593296,3
SRR3593297,3
SRR3593298,3
SRR3593299,3
SRR3593300,4
SRR3593301,4
SRR3593306,4
SRR3593307,4
SRR3593308,4
SRR3593309,4
SRR3593310,4
SRR3593311,4
SRR3593312,4
SRR3593313,4
SRR3593314,4
SRR3593315,4
SRR3593316,4
SRR3593317,4
SRR3593318,0
SRR3593319,0
SRR3593320,0
SRR3593321,0
SRR3593322,0
SRR3593323,0
SRR3593324,0
SRR3593325,0
SRR3593326,0
SRR3593327,0
SRR3593328,0
SRR3593329,0
SRR3593330,2
SRR3593331,2
SRR3593332,2
SRR3593333,2
SRR3593334,2
SRR3593335,2
SRR3593336,1
SRR3593337,1
SRR3593338,1
SRR3593339,1
SRR3593340,1
