Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Striated Muscle Contraction (GO:0006941),6/57,1.15472958510346e-10,2.217080803398643e-08,0,0,111.6078431372549,2553.8089634003877,TNNT2;TNNC2;TNNT3;TNNI1;MYH7;TTN
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),5/29,3.5178215144306136e-10,3.377108653853389e-08,0,0,188.91098484848484,4112.216022133682,CNN1;TNNC2;TNNT3;MYBPH;TNNI1
GO_Biological_Process_2023,Skeletal Muscle Contraction (GO:0003009),4/19,1.0065020575858948e-08,6.441613168549727e-07,0,0,231.39710144927537,4260.992443853523,TNNC2;TNNT3;TNNI1;MYH7
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),5/77,5.6009729187693786e-08,2.3467057149630634e-06,0,0,62.81881313131313,1048.9322355239424,TNNT2;TNNT3;MYH11;MYH7;TTN
GO_Biological_Process_2023,Sarcomere Organization (GO:0045214),4/29,6.111212799382977e-08,2.3467057149630634e-06,0,0,138.7686956521739,2305.0251202789777,TNNT2;TNNT3;MYH7;TTN
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),5/94,1.531972978685629e-07,4.902313531794013e-06,0,0,50.776302349336056,796.7583396458787,TNNT2;MYL11;MYH11;MYH7;TTN
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),4/46,4.1337146135289924e-07,1.133818865425095e-05,0,0,82.53002070393374,1213.1021080522755,TNNT2;TNNT3;MYH7;TTN
GO_Biological_Process_2023,Actin-Myosin Filament Sliding (GO:0033275),3/12,4.787528381041481e-07,1.1490068114499557e-05,0,0,277.27777777777777,4034.9687838475775,MYL11;TNNT2;MYH7
GO_Biological_Process_2023,Regulation Of Striated Muscle Contraction (GO:0006942),3/29,7.83115670393965e-06,0.00016706467635071252,0,0,95.89903846153848,1127.523386615178,TNNT3;MYBPH;TNNI1
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),3/31,9.616261592407e-06,0.0001846322225742144,0,0,89.04017857142857,1028.5970379898492,TNNT2;MYH7;TTN
GO_Biological_Process_2023,Cardiac Muscle Contraction (GO:0060048),3/33,1.1651184739594732e-05,0.00020336613363656255,0,0,83.09583333333333,943.9771996728643,TNNT2;MYH7;TTN
GO_Biological_Process_2023,Heart Contraction (GO:0060047),3/41,2.2601083427077932e-05,0.00036161733483324696,0,0,65.57565789473684,701.4964340305723,TNNT2;MYH7;TTN
GO_Biological_Process_2023,Skeletal Myofibril Assembly (GO:0014866),2/8,4.889496527853119e-05,0.000722141025652153,0,0,266.2266666666667,2642.522265790654,MYH11;TTN
GO_Biological_Process_2023,Muscle Filament Sliding (GO:0030049),2/10,7.845066309954509e-05,0.0010758948082223,0,0,199.65,1887.2995610426367,TNNT2;MYH7
GO_Biological_Process_2023,Cardiac Cell Development (GO:0055006),2/14,0.0001581177517279993,0.0020239072221183,0,0,133.07333333333332,1164.680507447672,MYH11;TTN
GO_Biological_Process_2023,Cardiac Myofibril Assembly (GO:0055003),2/15,0.0001822918418919162,0.0021875021027029,0,0,122.83076923076923,1057.5608400035376,NEB;TTN
GO_Biological_Process_2023,Muscle Tissue Morphogenesis (GO:0060415),2/17,0.0002357187816910066,0.0026622356520396,0,0,106.44266666666668,889.1018706375095,MYL11;TTN
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),2/25,0.0005165184917147076,0.0055095305782902,0,0,69.3913043478261,525.1811109155249,TNNT2;MYH7
GO_Biological_Process_2023,Cardiac Muscle Cell Development (GO:0055013),2/26,0.0005590963824391395,0.0056498160751744,0,0,66.49666666666667,498.0060832764494,MYH11;TTN
GO_Biological_Process_2023,Cardiac Muscle Cell Differentiation (GO:0055007),2/27,0.0006033219861613851,0.0057918910671492,0,0,63.8336,473.2022768152736,MYH11;TTN
GO_Biological_Process_2023,Muscle Cell Development (GO:0055001),2/32,0.0008490191830924593,0.0077624611025596,0,0,53.181333333333335,376.0680109315976,MYH11;TTN
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),2/33,0.000903043260938429,0.0078629732870072,0,0,51.46322580645161,360.7438374913855,TNNT2;MYH7
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),3/144,0.000941918675006082,0.0078629732870072,0,0,17.581560283687942,122.50113208824943,CNN1;NEB;TTN
GO_Biological_Process_2023,Positive Regulation Of Cell Development (GO:0010720),2/35,0.0010159428226569,0.0081275425812552,0,0,48.339393939393936,333.15211605803563,SERPINF1;TGM2
GO_Biological_Process_2023,Positive Regulation Of ATP-dependent Activity (GO:0032781),2/39,0.0012610318861582,0.0096847248856953,0,0,43.10486486486487,287.76053172401754,TNNT2;TNNT3
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),2/42,0.0014615978271405,0.0107933378004226,0,0,39.866,260.25421942599417,TNNT2;MYH7
GO_Biological_Process_2023,Positive Regulation Of Nervous System Development (GO:0051962),2/49,0.0019847485989451,0.014113767814721,0,0,33.91659574468085,211.03797957730015,SERPINF1;TGM2
GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),3/193,0.0021818542538889,0.014961286312381,0,0,13.015131578947368,79.75126241435777,RGS4;RGS5;IGFBP2
GO_Biological_Process_2023,Response To Metal Ion (GO:0010038),2/64,0.0033603021350931,0.022247517584065,0,0,25.691612903225806,146.33234617715857,TNNT2;TTN
GO_Biological_Process_2023,Regulation Of Neurogenesis (GO:0050767),2/67,0.0036761657907123,0.0235274610605591,0,0,24.50215384615385,137.35625609293805,SERPINF1;TGM2
GO_Biological_Process_2023,Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),2/70,0.0040053663111859,0.0248074300563776,0,0,23.41764705882353,129.26822748331975,RGS4;RGS5
GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),2/75,0.0045833867001676,0.0275003202010059,0,0,21.80821917808219,117.44417565880208,SERPINF1;TGM2
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471),1/5,0.0067323898885916,0.0369319673888456,0,0,192.0096153846154,960.2065018708712,TGM2
GO_Biological_Process_2023,Striated Muscle Hypertrophy (GO:0014897),1/5,0.0067323898885916,0.0369319673888456,0,0,192.0096153846154,960.2065018708712,TTN
GO_Biological_Process_2023,Positive Regulation Of Urine Volume (GO:0035810),1/5,0.0067323898885916,0.0369319673888456,0,0,192.0096153846154,960.2065018708712,NPR3
GO_Biological_Process_2023,Response To Cocaine (GO:0042220),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,TGM2
GO_Biological_Process_2023,Cellular Hyperosmotic Response (GO:0071474),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,AQP1
GO_Biological_Process_2023,Detection Of Muscle Stretch (GO:0035995),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,TTN
GO_Biological_Process_2023,Elastic Fiber Assembly (GO:0048251),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,MYH11
GO_Biological_Process_2023,Cellular Response To Monoamine Stimulus (GO:0071868),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,TGM2
GO_Biological_Process_2023,Skeletal Muscle Thin Filament Assembly (GO:0030240),1/6,0.0080736268908127,0.0378082039764889,0,0,153.6,740.2218192098322,TTN
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),2/106,0.0089584396588002,0.0409528670116584,0,0,15.283846153846154,72.06576799296013,TNNT2;TTN
GO_Biological_Process_2023,Cardiac Muscle Hypertrophy (GO:0003300),1/7,0.0094131205361766,0.0410754350669526,0,0,127.99358974358974,597.1733894173036,TTN
GO_Biological_Process_2023,Regulation Of Apoptotic Cell Clearance (GO:2000425),1/7,0.0094131205361766,0.0410754350669526,0,0,127.99358974358974,597.1733894173036,TGM2
GO_Biological_Process_2023,Adult Heart Development (GO:0007512),1/8,0.0107508728609495,0.0439184593468579,0,0,109.7032967032967,497.25962914000377,MYH7
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Calcium Ion Concentration (GO:0051561),1/8,0.0107508728609495,0.0439184593468579,0,0,109.7032967032967,497.25962914000377,TGM2
GO_Biological_Process_2023,Regulation Of Urine Volume (GO:0035809),1/8,0.0107508728609495,0.0439184593468579,0,0,109.7032967032967,497.25962914000377,NPR3
GO_Biological_Process_2023,Actin-Mediated Cell Contraction (GO:0070252),1/9,0.0120868859385031,0.0464136420038519,0,0,95.98557692307692,423.8371981703313,MYL11
GO_Biological_Process_2023,Regulation Of Actin Filament Length (GO:0030832),1/9,0.0120868859385031,0.0464136420038519,0,0,95.98557692307692,423.8371981703313,NEB
GO_Biological_Process_2023,Dopamine Transport (GO:0015872),1/9,0.0120868859385031,0.0464136420038519,0,0,95.98557692307692,423.8371981703313,TGM2
GO_Biological_Process_2023,Signal Release (GO:0023061),1/10,0.0134211618656948,0.0505267270237923,0,0,85.31623931623932,367.7917019980768,TGM2
GO_Biological_Process_2023,Regulation Of Muscle System Process (GO:0090257),1/11,0.014753702756032,0.052457609799225,0,0,76.78076923076924,323.7277777065472,TNNC2
GO_Biological_Process_2023,Negative Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070885),1/11,0.014753702756032,0.052457609799225,0,0,76.78076923076924,323.7277777065472,RCAN1
GO_Biological_Process_2023,Negative Regulation Of Calcineurin-Mediated Signaling (GO:0106057),1/11,0.014753702756032,0.052457609799225,0,0,76.78076923076924,323.7277777065472,RCAN1
GO_Biological_Process_2023,Skeletal System Development (GO:0001501),2/149,0.017129713787314,0.0597982735848053,0,0,10.78965986394558,43.88090657070929,NPR3;TGM2
GO_Biological_Process_2023,Cellular Response To Organic Cyclic Compound (GO:0071407),2/152,0.0177847413009564,0.0609762558889934,0,0,10.572266666666666,42.60004375451713,AQP1;TGM2
GO_Biological_Process_2023,Renal Water Homeostasis (GO:0003091),1/14,0.0187409364492418,0.0609874542077024,0,0,59.05325443786983,234.8574522333829,AQP1
GO_Biological_Process_2023,Response To Muscle Stretch (GO:0035994),1/14,0.0187409364492418,0.0609874542077024,0,0,59.05325443786983,234.8574522333829,TTN
GO_Biological_Process_2023,Smooth Muscle Contraction (GO:0006939),1/14,0.0187409364492418,0.0609874542077024,0,0,59.05325443786983,234.8574522333829,MYH11
GO_Biological_Process_2023,Positive Regulation Of Secretion (GO:0051047),1/15,0.020066558464378,0.0614200738522344,0,0,54.832417582417584,214.3235039145759,AQP1
GO_Biological_Process_2023,Mitotic Chromosome Condensation (GO:0007076),1/15,0.020066558464378,0.0614200738522344,0,0,54.832417582417584,214.3235039145759,TTN
GO_Biological_Process_2023,Negative Regulation Of ATP-dependent Activity (GO:0032780),1/16,0.0213904560937906,0.0614200738522344,0,0,51.174358974358974,196.7557093049865,TNNT2
GO_Biological_Process_2023,Protein Kinase A Signaling (GO:0010737),1/16,0.0213904560937906,0.0614200738522344,0,0,51.174358974358974,196.7557093049865,TTN
GO_Biological_Process_2023,Regulation Of Osteoblast Proliferation (GO:0033688),1/16,0.0213904560937906,0.0614200738522344,0,0,51.174358974358974,196.7557093049865,NPR3
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,MYH11
GO_Biological_Process_2023,Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,TGM2
GO_Biological_Process_2023,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,CNN1
GO_Biological_Process_2023,Cellular Response To Alkaloid (GO:0071312),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,TGM2
GO_Biological_Process_2023,Cellular Response To Glucocorticoid Stimulus (GO:0071385),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,AQP1
GO_Biological_Process_2023,Positive Regulation Of Nitric-Oxide Synthase Activity (GO:0051000),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,NPR3
GO_Biological_Process_2023,cGMP-mediated Signaling (GO:0019934),1/17,0.0227126314766075,0.0614200738522344,0,0,47.97355769230769,181.5719549673859,AQP1
GO_Biological_Process_2023,Detection Of Mechanical Stimulus (GO:0050982),1/18,0.0240330867565966,0.0632103103735143,0,0,45.14932126696833,168.33128827465845,TTN
GO_Biological_Process_2023,Cellular Response To Inorganic Substance (GO:0071241),1/18,0.0240330867565966,0.0632103103735143,0,0,45.14932126696833,168.33128827465845,AQP1
GO_Biological_Process_2023,Multicellular Organismal-Level Water Homeostasis (GO:0050891),1/19,0.0253518240632961,0.063214937924063,0,0,42.638888888888886,156.69384876205734,AQP1
GO_Biological_Process_2023,Positive Regulation Of Activated T Cell Proliferation (GO:0042104),1/19,0.0253518240632961,0.063214937924063,0,0,42.638888888888886,156.69384876205734,IGFBP2
GO_Biological_Process_2023,Cellular Response To Catecholamine Stimulus (GO:0071870),1/19,0.0253518240632961,0.063214937924063,0,0,42.638888888888886,156.69384876205734,TGM2
GO_Biological_Process_2023,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),1/19,0.0253518240632961,0.063214937924063,0,0,42.638888888888886,156.69384876205734,IGFBP2
GO_Biological_Process_2023,Regulation Of Smooth Muscle Contraction (GO:0006940),1/20,0.0266688455361458,0.06400522928675,0,0,40.392712550607285,146.39366123411943,CNN1
GO_Biological_Process_2023,Cellular Response To Copper Ion (GO:0071280),1/20,0.0266688455361458,0.06400522928675,0,0,40.392712550607285,146.39366123411943,AQP1
GO_Biological_Process_2023,Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469),1/20,0.0266688455361458,0.06400522928675,0,0,40.392712550607285,146.39366123411943,TGM2
GO_Biological_Process_2023,Mitochondrial Calcium Ion Homeostasis (GO:0051560),1/21,0.0279841533165139,0.0663328078613664,0,0,38.371153846153845,137.21973105106596,TGM2
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),2/205,0.0310210242286591,0.0726345933158847,0,0,7.791133004926109,27.05930693404677,SERPINF1;AQP1
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),1/24,0.0319198157870248,0.0738386100133587,0,0,33.36120401337793,114.91361059553886,AQP1
GO_Biological_Process_2023,Positive Regulation Of Monooxygenase Activity (GO:0032770),1/26,0.0345350613606546,0.0789372831100678,0,0,30.689230769230768,103.29320526635196,NPR3
GO_Biological_Process_2023,Peptide Cross-Linking (GO:0018149),1/27,0.0358401317118484,0.0809565328079399,0,0,29.507396449704142,98.22088743474232,TGM2
GO_Biological_Process_2023,Apoptotic Cell Clearance (GO:0043277),1/28,0.0371435032676452,0.0810403707657714,0,0,28.413105413105413,93.56340148780022,TGM2
GO_Biological_Process_2023,Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),1/28,0.0371435032676452,0.0810403707657714,0,0,28.413105413105413,93.56340148780022,NPR3
GO_Biological_Process_2023,Positive Regulation Of Fibroblast Proliferation (GO:0048146),1/28,0.0371435032676452,0.0810403707657714,0,0,28.413105413105413,93.56340148780022,AQP1
GO_Biological_Process_2023,Cellular Response To cAMP (GO:0071320),1/31,0.0410434463585474,0.0885431651779899,0,0,25.56794871794872,81.6416333934617,AQP1
GO_Biological_Process_2023,Chromosome Condensation (GO:0030261),1/32,0.0423400439315086,0.0893328399434028,0,0,24.741935483870968,78.2345437210345,TTN
GO_Biological_Process_2023,Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205),1/32,0.0423400439315086,0.0893328399434028,0,0,24.741935483870968,78.2345437210345,MYH7
GO_Biological_Process_2023,Regulation Of Activated T Cell Proliferation (GO:0046006),1/33,0.0436349532899167,0.0898563530980608,0,0,23.96754807692308,75.0638863791398,IGFBP2
GO_Biological_Process_2023,ATP Metabolic Process (GO:0046034),1/34,0.0449281765490304,0.0898563530980608,0,0,23.24009324009324,72.10680817166444,MYH7
GO_Biological_Process_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),1/34,0.0449281765490304,0.0898563530980608,0,0,23.24009324009324,72.10680817166444,AQP1
GO_Biological_Process_2023,Regulation Of Blood Circulation (GO:1903522),1/34,0.0449281765490304,0.0898563530980608,0,0,23.24009324009324,72.10680817166444,TNNT2
GO_Biological_Process_2023,Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070884),1/34,0.0449281765490304,0.0898563530980608,0,0,23.24009324009324,72.10680817166444,RCAN1
GO_Biological_Process_2023,Skeletal Muscle Organ Development (GO:0060538),1/35,0.046219715818065,0.0914864478048297,0,0,22.555429864253394,69.34325924679375,MYL11
GO_Biological_Process_2023,Muscle Tissue Development (GO:0060537),1/37,0.0487977508038484,0.0936916815433891,0,0,21.30021367521368,64.32815883418561,MYL11
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),1/37,0.0487977508038484,0.0936916815433891,0,0,21.30021367521368,64.32815883418561,CNN1
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),1/37,0.0487977508038484,0.0936916815433891,0,0,21.30021367521368,64.32815883418561,CNN1
GO_Biological_Process_2023,Response To cAMP (GO:0051591),1/38,0.0500842507282723,0.0952096647507751,0,0,20.72349272349272,62.04714597227348,AQP1
GO_Biological_Process_2023,Odontogenesis (GO:0042476),1/39,0.0513690750681718,0.096694729540088,0,0,20.17712550607288,59.9002146437606,AQP1
GO_Biological_Process_2023,Cyclic-Nucleotide-Mediated Signaling (GO:0019935),1/40,0.0526522259283912,0.0981478386237972,0,0,19.65877712031558,57.87635915452169,AQP1
GO_Biological_Process_2023,Cellular Response To Retinoic Acid (GO:0071300),1/41,0.0539337053893905,0.0995699176419517,0,0,19.166346153846156,55.96572434095457,AQP1
GO_Biological_Process_2023,Skeletal Muscle Tissue Development (GO:0007519),1/42,0.0552135155533288,0.1009618570118014,0,0,18.69793621013133,54.15946054707467,MYL11
GO_Biological_Process_2023,Regulation Of Cellular Component Size (GO:0032535),1/43,0.0564916585091406,0.1023245135259905,0,0,18.251831501831504,52.44959988716816,NEB
GO_Biological_Process_2023,Cellular Response To Ketone (GO:1901655),1/44,0.0577681363361376,0.1026989090420224,0,0,17.826475849731665,50.82895021500038,AQP1
GO_Biological_Process_2023,Bone Development (GO:0060348),1/44,0.0577681363361376,0.1026989090420224,0,0,17.826475849731665,50.82895021500038,TGM2
GO_Biological_Process_2023,Gene Expression (GO:0010467),2/296,0.0601195120684935,0.1033990370682824,0,0,5.354829931972789,15.054680412338532,RPS4Y1;TGM2
GO_Biological_Process_2023,Response To Hydrogen Peroxide (GO:0042542),1/46,0.0603161049564981,0.1033990370682824,0,0,17.032478632478632,47.829859287186046,AQP1
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),1/46,0.0603161049564981,0.1033990370682824,0,0,17.032478632478632,47.829859287186046,AQP1
GO_Biological_Process_2023,Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),1/46,0.0603161049564981,0.1033990370682824,0,0,17.032478632478632,47.829859287186046,NPR3
GO_Biological_Process_2023,Cellular Response To Mechanical Stimulus (GO:0071260),1/48,0.0628574380669868,0.1068020186624909,0,0,16.306055646481177,45.11699715873728,AQP1
GO_Biological_Process_2023,Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),1/49,0.0641256214892022,0.1080010467186564,0,0,15.965544871794872,43.85593535873217,AQP1
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),2/316,0.0674241350053821,0.1124197475052216,0,0,5.008662420382166,13.507121596701747,CNN1;MYH11
GO_Biological_Process_2023,Cardiac Muscle Tissue Development (GO:0048738),1/52,0.067920264117738,0.1124197475052216,0,0,15.024132730015085,40.40621579213957,TTN
GO_Biological_Process_2023,Negative Regulation Of Metabolic Process (GO:0009892),1/53,0.0691818493313732,0.1125670768781666,0,0,14.7344674556213,39.35600928291532,NPR3
GO_Biological_Process_2023,Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),1/53,0.0691818493313732,0.1125670768781666,0,0,14.7344674556213,39.35600928291532,AQP1
GO_Biological_Process_2023,Muscle Organ Development (GO:0007517),1/58,0.0754651507447108,0.1207442411915374,0,0,13.43859649122807,34.726466325654,NEB
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),1/58,0.0754651507447108,0.1207442411915374,0,0,13.43859649122807,34.726466325654,TGM2
GO_Biological_Process_2023,Heart Morphogenesis (GO:0003007),1/59,0.076716900477825,0.1217046136848922,0,0,13.206233421750664,33.90876403657074,TTN
GO_Biological_Process_2023,Response To Retinoic Acid (GO:0032526),1/60,0.0779670181418841,0.1217046136848922,0,0,12.98174706649283,33.12253021761694,AQP1
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),1/60,0.0779670181418841,0.1217046136848922,0,0,12.98174706649283,33.12253021761694,SERPINF1
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),1/65,0.0841931969958912,0.1303636598646058,0,0,11.96454326923077,29.607951196009186,IGFBP2
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),1/66,0.0854335651408865,0.1311597763722248,0,0,11.779881656804733,28.978699956832514,SERPINF1
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),2/364,0.0860736032442725,0.1311597763722248,0,0,4.333922651933702,10.629172822165694,ACTG2;TTN
GO_Biological_Process_2023,Regulation Of Endopeptidase Activity (GO:0052548),1/69,0.0891449708907092,0.1326808869071022,0,0,11.258484162895927,27.217288055780266,SERPINF1
GO_Biological_Process_2023,Phagocytosis (GO:0006909),1/69,0.0891449708907092,0.1326808869071022,0,0,11.258484162895927,27.217288055780266,TGM2
GO_Biological_Process_2023,Regulation Of Heart Contraction (GO:0008016),1/69,0.0891449708907092,0.1326808869071022,0,0,11.258484162895927,27.217288055780266,TNNT2
GO_Biological_Process_2023,Positive Regulation Of Protein Transport (GO:0051222),1/70,0.0903788799946025,0.1334826535304899,0,0,11.094760312151616,26.668970934836352,TTN
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),1/72,0.0928418711410691,0.1337898057987882,0,0,10.781148429035753,25.62525396907896,AQP1
GO_Biological_Process_2023,Second-Messenger-Mediated Signaling (GO:0019932),1/72,0.0928418711410691,0.1337898057987882,0,0,10.781148429035753,25.62525396907896,RCAN1
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),1/73,0.0940709572022729,0.1337898057987882,0,0,10.630876068376068,25.12826467235412,TTN
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),1/73,0.0940709572022729,0.1337898057987882,0,0,10.630876068376068,25.12826467235412,AQP1
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),1/73,0.0940709572022729,0.1337898057987882,0,0,10.630876068376068,25.12826467235412,AQP1
GO_Biological_Process_2023,Defense Response To Gram-negative Bacterium (GO:0050829),1/75,0.0965243203976375,0.1362696287966648,0,0,10.342515592515593,24.18039062518233,AQP1
GO_Biological_Process_2023,Positive Regulation Of Protein Secretion (GO:0050714),1/76,0.0977486015575413,0.136990740868963,0,0,10.204102564102564,23.72817506630132,TTN
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),1/77,0.0989712850798696,0.1376991792415577,0,0,10.069331983805668,23.28961492092306,SERPINF1
GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),1/79,0.1014118672915999,0.1400797015826417,0,0,9.810157790927022,22.451185336763995,AQP1
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),2/406,0.1035286557807832,0.1419821564993598,0,0,3.875049504950495,8.788251266572924,AQP1;TGM2
GO_Biological_Process_2023,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),1/83,0.1062739482697551,0.1439278065814034,0,0,9.329737335834896,20.914799669740503,TGM2
GO_Biological_Process_2023,Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),1/84,0.1074855044212984,0.1439278065814034,0,0,9.216867469879515,20.55729459723843,AQP1
GO_Biological_Process_2023,Purine Ribonucleotide Metabolic Process (GO:0009150),1/84,0.1074855044212984,0.1439278065814034,0,0,9.216867469879515,20.55729459723843,MYH7
GO_Biological_Process_2023,Calcium-Mediated Signaling (GO:0019722),1/85,0.108695478928664,0.1439278065814034,0,0,9.106684981684982,20.20960155430532,RCAN1
GO_Biological_Process_2023,Regulation Of Kinase Activity (GO:0043549),1/85,0.108695478928664,0.1439278065814034,0,0,9.106684981684982,20.20960155430532,TTN
GO_Biological_Process_2023,Negative Regulation Of Angiogenesis (GO:0016525),1/86,0.1099038737594078,0.1445311216562075,0,0,8.999095022624434,19.871344206358376,SERPINF1
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),1/88,0.1123159323620213,0.1466983606361095,0,0,8.791335101679929,19.221722799537645,TGM2
GO_Biological_Process_2023,Regulation Of Actin Cytoskeleton Organization (GO:0032956),1/91,0.1159222222375367,0.150385585605453,0,0,8.497008547008546,18.309658301022694,NEB
GO_Biological_Process_2023,Response To UV (GO:0009411),1/100,0.1266566423028266,0.1632085592090115,0,0,7.721056721056721,15.953830010816358,AQP1
GO_Biological_Process_2023,Regulation Of Protein Secretion (GO:0050708),1/102,0.1290249668906648,0.1651519576200509,0,0,7.567402894135568,15.49614436945303,TTN
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),1/104,0.1313871063469724,0.1670617511166802,0,0,7.419716206123973,15.059110197836317,AQP1
GO_Biological_Process_2023,Cellular Response To Organonitrogen Compound (GO:0071417),1/105,0.1325658615125707,0.1674516145421946,0,0,7.348002958579881,14.847930941351123,AQP1
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),2/480,0.1363754191377454,0.1711362038827104,0,0,3.2627615062761506,6.500542532007588,ACTG2;TTN
GO_Biological_Process_2023,Cellular Response To Salt (GO:1902075),1/109,0.1372654968642573,0.1711362038827104,0,0,7.074430199430199,14.048674406808203,TGM2
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),1/111,0.1396061104348691,0.1729314400225475,0,0,6.945104895104895,13.674427593748533,TTN
GO_Biological_Process_2023,Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),1/114,0.1431055689473292,0.1761299310120975,0,0,6.759700476514636,13.142024969140452,IGFBP2
GO_Biological_Process_2023,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1/118,0.1477501988024318,0.1798129060060123,0,0,6.527284681130835,12.481684449498475,TGM2
