Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Striated Muscle Contraction (GO:0006941)	6/57	1.154730e-10	2.217081e-08	0	0	1.116078e+02	2.553809e+03	TNNT2;TNNC2;TNNT3;TNNI1;MYH7;TTN
GO_Biological_Process_2023	Regulation Of Muscle Contraction (GO:0006937)	5/29	3.517822e-10	3.377109e-08	0	0	1.889110e+02	4.112216e+03	CNN1;TNNC2;TNNT3;MYBPH;TNNI1
GO_Biological_Process_2023	Skeletal Muscle Contraction (GO:0003009)	4/19	1.006502e-08	6.441613e-07	0	0	2.313971e+02	4.260992e+03	TNNC2;TNNT3;TNNI1;MYH7
GO_Biological_Process_2023	Actomyosin Structure Organization (GO:0031032)	5/77	5.600973e-08	2.346706e-06	0	0	6.281881e+01	1.048932e+03	TNNT2;TNNT3;MYH11;MYH7;TTN
GO_Biological_Process_2023	Sarcomere Organization (GO:0045214)	4/29	6.111213e-08	2.346706e-06	0	0	1.387687e+02	2.305025e+03	TNNT2;TNNT3;MYH7;TTN
GO_Biological_Process_2023	Muscle Contraction (GO:0006936)	5/94	1.531973e-07	4.902314e-06	0	0	5.077630e+01	7.967583e+02	TNNT2;MYL11;MYH11;MYH7;TTN
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	4/46	4.133715e-07	1.133819e-05	0	0	8.253002e+01	1.213102e+03	TNNT2;TNNT3;MYH7;TTN
GO_Biological_Process_2023	Actin-Myosin Filament Sliding (GO:0033275)	3/12	4.787528e-07	1.149007e-05	0	0	2.772778e+02	4.034969e+03	MYL11;TNNT2;MYH7
GO_Biological_Process_2023	Regulation Of Striated Muscle Contraction (GO:0006942)	3/29	7.831157e-06	1.670647e-04	0	0	9.589904e+01	1.127523e+03	TNNT3;MYBPH;TNNI1
GO_Biological_Process_2023	Cardiac Muscle Tissue Morphogenesis (GO:0055008)	3/31	9.616262e-06	1.846322e-04	0	0	8.904018e+01	1.028597e+03	TNNT2;MYH7;TTN
GO_Biological_Process_2023	Cardiac Muscle Contraction (GO:0060048)	3/33	1.165118e-05	2.033661e-04	0	0	8.309583e+01	9.439772e+02	TNNT2;MYH7;TTN
GO_Biological_Process_2023	Heart Contraction (GO:0060047)	3/41	2.260108e-05	3.616173e-04	0	0	6.557566e+01	7.014964e+02	TNNT2;MYH7;TTN
GO_Biological_Process_2023	Skeletal Myofibril Assembly (GO:0014866)	2/8	4.889497e-05	7.221410e-04	0	0	2.662267e+02	2.642522e+03	MYH11;TTN
GO_Biological_Process_2023	Muscle Filament Sliding (GO:0030049)	2/10	7.845066e-05	1.075895e-03	0	0	1.996500e+02	1.887300e+03	TNNT2;MYH7
GO_Biological_Process_2023	Cardiac Cell Development (GO:0055006)	2/14	1.581178e-04	2.023907e-03	0	0	1.330733e+02	1.164681e+03	MYH11;TTN
GO_Biological_Process_2023	Cardiac Myofibril Assembly (GO:0055003)	2/15	1.822918e-04	2.187502e-03	0	0	1.228308e+02	1.057561e+03	NEB;TTN
GO_Biological_Process_2023	Muscle Tissue Morphogenesis (GO:0060415)	2/17	2.357188e-04	2.662236e-03	0	0	1.064427e+02	8.891019e+02	MYL11;TTN
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Development (GO:0003229)	2/25	5.165185e-04	5.509531e-03	0	0	6.939130e+01	5.251811e+02	TNNT2;MYH7
GO_Biological_Process_2023	Cardiac Muscle Cell Development (GO:0055013)	2/26	5.590964e-04	5.649816e-03	0	0	6.649667e+01	4.980061e+02	MYH11;TTN
GO_Biological_Process_2023	Cardiac Muscle Cell Differentiation (GO:0055007)	2/27	6.033220e-04	5.791891e-03	0	0	6.383360e+01	4.732023e+02	MYH11;TTN
GO_Biological_Process_2023	Muscle Cell Development (GO:0055001)	2/32	8.490192e-04	7.762461e-03	0	0	5.318133e+01	3.760680e+02	MYH11;TTN
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)	2/33	9.030433e-04	7.862973e-03	0	0	5.146323e+01	3.607438e+02	TNNT2;MYH7
GO_Biological_Process_2023	Actin Filament Organization (GO:0007015)	3/144	9.419187e-04	7.862973e-03	0	0	1.758156e+01	1.225011e+02	CNN1;NEB;TTN
GO_Biological_Process_2023	Positive Regulation Of Cell Development (GO:0010720)	2/35	1.015943e-03	8.127543e-03	0	0	4.833939e+01	3.331521e+02	SERPINF1;TGM2
GO_Biological_Process_2023	Positive Regulation Of ATP-dependent Activity (GO:0032781)	2/39	1.261032e-03	9.684725e-03	0	0	4.310486e+01	2.877605e+02	TNNT2;TNNT3
GO_Biological_Process_2023	Cardiac Ventricle Morphogenesis (GO:0003208)	2/42	1.461598e-03	1.079334e-02	0	0	3.986600e+01	2.602542e+02	TNNT2;MYH7
GO_Biological_Process_2023	Positive Regulation Of Nervous System Development (GO:0051962)	2/49	1.984749e-03	1.411377e-02	0	0	3.391660e+01	2.110380e+02	SERPINF1;TGM2
GO_Biological_Process_2023	Regulation Of Signal Transduction (GO:0009966)	3/193	2.181854e-03	1.496129e-02	0	0	1.301513e+01	7.975126e+01	RGS4;RGS5;IGFBP2
GO_Biological_Process_2023	Response To Metal Ion (GO:0010038)	2/64	3.360302e-03	2.224752e-02	0	0	2.569161e+01	1.463323e+02	TNNT2;TTN
GO_Biological_Process_2023	Regulation Of Neurogenesis (GO:0050767)	2/67	3.676166e-03	2.352746e-02	0	0	2.450215e+01	1.373563e+02	SERPINF1;TGM2
GO_Biological_Process_2023	Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	2/70	4.005366e-03	2.480743e-02	0	0	2.341765e+01	1.292682e+02	RGS4;RGS5
GO_Biological_Process_2023	Positive Regulation Of Neurogenesis (GO:0050769)	2/75	4.583387e-03	2.750032e-02	0	0	2.180822e+01	1.174442e+02	SERPINF1;TGM2
GO_Biological_Process_2023	Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471)	1/5	6.732390e-03	3.693197e-02	0	0	1.920096e+02	9.602065e+02	TGM2
GO_Biological_Process_2023	Striated Muscle Hypertrophy (GO:0014897)	1/5	6.732390e-03	3.693197e-02	0	0	1.920096e+02	9.602065e+02	TTN
GO_Biological_Process_2023	Positive Regulation Of Urine Volume (GO:0035810)	1/5	6.732390e-03	3.693197e-02	0	0	1.920096e+02	9.602065e+02	NPR3
GO_Biological_Process_2023	Response To Cocaine (GO:0042220)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	TGM2
GO_Biological_Process_2023	Cellular Hyperosmotic Response (GO:0071474)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	AQP1
GO_Biological_Process_2023	Detection Of Muscle Stretch (GO:0035995)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	TTN
GO_Biological_Process_2023	Elastic Fiber Assembly (GO:0048251)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	MYH11
GO_Biological_Process_2023	Cellular Response To Monoamine Stimulus (GO:0071868)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	TGM2
GO_Biological_Process_2023	Skeletal Muscle Thin Filament Assembly (GO:0030240)	1/6	8.073627e-03	3.780820e-02	0	0	1.536000e+02	7.402218e+02	TTN
GO_Biological_Process_2023	Response To Calcium Ion (GO:0051592)	2/106	8.958440e-03	4.095287e-02	0	0	1.528385e+01	7.206577e+01	TNNT2;TTN
GO_Biological_Process_2023	Cardiac Muscle Hypertrophy (GO:0003300)	1/7	9.413121e-03	4.107544e-02	0	0	1.279936e+02	5.971734e+02	TTN
GO_Biological_Process_2023	Regulation Of Apoptotic Cell Clearance (GO:2000425)	1/7	9.413121e-03	4.107544e-02	0	0	1.279936e+02	5.971734e+02	TGM2
GO_Biological_Process_2023	Adult Heart Development (GO:0007512)	1/8	1.075087e-02	4.391846e-02	0	0	1.097033e+02	4.972596e+02	MYH7
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Calcium Ion Concentration (GO:0051561)	1/8	1.075087e-02	4.391846e-02	0	0	1.097033e+02	4.972596e+02	TGM2
GO_Biological_Process_2023	Regulation Of Urine Volume (GO:0035809)	1/8	1.075087e-02	4.391846e-02	0	0	1.097033e+02	4.972596e+02	NPR3
